target,kind,L,step_size,accept,tau_worst,tau_pca1,ess_worst,ess_pca1,ess_per_grad,ess_per_sec,seconds
gaussian D=2,rt,10,1.20536,0.707784,2.24996,2.23214,53334.2,53760,0.0370376,185076,0.288174
gaussian D=2,rt,30,1.20536,0.663854,2.5109,2.39603,47791.7,50082.8,0.0110629,102810,0.464856
gaussian D=2,hmc,10,0.764036,0.920942,1.59475,1.59651,75247.1,75164.2,0.0522549,509414,0.147713
gaussian D=2,hmc,30,1.20536,0.80071,7.64037,7.70891,15706,15566.4,0.00363566,95486.9,0.164484
gaussian D=10,rt,10,1.20536,0.690565,3.17407,3.10149,37806.3,38691.1,0.0262544,83572.4,0.452378
gaussian D=10,rt,30,1.20536,0.684022,2.85298,2.83497,42061.2,42328.5,0.0097364,65103.8,0.646064
gaussian D=10,hmc,10,1.20536,0.798544,58.7595,56.4774,2042.22,2124.75,0.00141821,6118.62,0.333772
gaussian D=10,hmc,30,0.764036,0.807534,1.93832,1.91226,61909.2,62753.1,0.0143308,179721,0.344473
gaussian D=10 cond=10,rt,10,1.20536,0.798283,3.16468,1,37918.5,120000,0.0263323,87403.2,0.433834
gaussian D=10 cond=10,rt,30,1.20536,0.772762,2.24411,1.51375,53473.3,79273.2,0.0123781,89443,0.597848
gaussian D=10 cond=10,hmc,10,1.20536,0.842238,87.4899,1,1371.59,120000,0.000952491,3943.7,0.347792
gaussian D=10 cond=10,hmc,30,1.9016,0.670723,287.557,21.5653,417.308,5564.49,9.65991e-05,1217.26,0.342827
rosenbrock D=2,rt,10,0.0781811,0.692607,87.3213,86.5599,1374.24,1386.32,0.00095433,4836.68,0.284128
rosenbrock D=2,rt,30,0.0495564,0.799284,31.959,30.9258,3754.81,3880.26,0.000869169,7559.63,0.496693
rosenbrock D=2,hmc,10,0.0199111,0.853639,249,191.166,481.928,627.725,0.000334672,3121.81,0.154374
rosenbrock D=2,hmc,30,0.008,0.996812,138.023,138.282,869.42,867.792,0.000201255,5660.51,0.153594
mixture D=2 sep=4,rt,10,1.20536,0.651061,3.85529,3.85526,31126.1,31126.3,0.0216153,103025,0.302122
mixture D=2 sep=4,rt,30,0.764036,0.809032,2.61648,2.61658,45863.2,45861.5,0.0106165,83249.9,0.55091
mixture D=2 sep=4,hmc,10,1.20536,0.873456,45.2133,15.5004,2654.09,7741.71,0.00184311,15243,0.174118
mixture D=2 sep=4,hmc,30,1.20536,0.805786,10.671,10.6704,11245.4,11246.1,0.0026031,56573.9,0.198773
